Date,Open,High,Low,Close,Adj Close,Volume
2024-02-09,45297.3828125,48152.49609375,45260.82421875,47147.19921875,47147.19921875,39316770844
2024-02-11,47768.96875,47786.86328125,47621.77734375,47712.5625,47712.5625,16014939136
