Date,Open,High,Low,Close,Adj Close,Volume
2024-02-06,42657.390625,43344.1484375,42529.01953125,43084.671875,43084.671875,16798476726
2024-02-07,43090.01953125,44341.94921875,42775.95703125,44318.22265625,44318.22265625,21126587775
2024-02-08,44332.125,45575.83984375,44332.125,45301.56640625,45301.56640625,26154524080
2024-02-09,45297.3828125,48152.49609375,45260.82421875,47147.19921875,47147.19921875,39316770844
2024-02-11,47768.96875,47786.86328125,47621.77734375,47731.6953125,47731.6953125,15986388992
